Title,Status,Rating,Comments,Date Watched
Good Will Hunting,W,100,drama; emotional,
The Man Who Knew Infinity,Q,,,
Inception,W,95,,
The Martian,W,91,,
The Shawshank Redemption,W,90,,
The Theory of Everything,W,90,,3/16/2020
Parasite,W,90,,
The Queen's Gambit,W,90,A lovely story; would watch again,11/20/2020
the social network,W,89,Mark Zuckerberg's tough controversial epic story in founding Facebook,4/10/2020
Uncut Gems,W,88,,6/1/2020
The Lobster,W,88,,4/19/2020
The King's Speech,W,88,fantastic; emotional; cinematic,3/22/2020
The Martian,W,88,,5/7/2020
Marriage Story,W,86,,12/17/2019
Zodiac,W,85,,6/2/2020
Breaking Bad,W,85,,
The Joker,W,85,,2/28/2020
The Good the Bad and the Ugly,W,85,,
Dallas Buyers Club,W,84,,6/2/2020
United 93,W,84,,6/1/2020
The Irishman,W,81,long; slow burn; cinematic,3/18/2020
Jerry Macguire,W,80,drama; life story,5/30/2020
The Curious Case of Benjamin Button,W,80,,5/10/2020
Harry Potter and the Sorcerer's Stone,W,80,,
Prisoners,W,80,,3/15/2020
Silver Linings Playbook,W,80,,
The Pianist,W,80,,
Back to the Future III,W,80,,
The Matrix,W,80,,
Back to the Future,W,80,,
Back to the Future II,W,80,,6/3/2020
Harry Potter and the Chamber of Secrets,W,80,,
Harry Potter and the Deathly Hallows: Part 1,W,80,,
Harry Potter and the Goblet of Fire,W,80,,
Harry Potter and the Half-Blood Prince,W,80,,
Harry Potter and the Order of the Phoenix,W,80,,
Harry Potter and the Prisoner of Azkaban,W,80,,
Harry Potter and the Deathly Hallows: Part 2,W,80,,
Molly's Game,W,77,brainy; poker,4/3/2020
Steve Jobs,W,77,,4/6/2020
21,W,75,,
The Guernsey Literary and Potato Peel Pie Society,W,75,,3/12/2020
A Ghost Story,W,68,brainy; slow; cinematic,3/21/2020
Road To Perdition,W,68,,4/16/2020
The Half of It,W,65,,5/8/2020
20th Century Women,W,65,,3/14/2020
All The Bright Places,W,65,drama; romance,3/5/2020
New Girl,W,65,,
Snowden,W,65,didn't pay perfect attention; but interesting and enlightening,11/25/2020
Goodfellas,W,60,,
Kilo Two Bravo,W,60,,
There Will Be Blood,W,60,,
The Matrix Revolutions,W,50,,5/31/2020
A Christmas Prince,W,,,
About Time,W,,,
Batman Begins,W,,,
Colonia,W,,,
Extremely Wicked Shockingly Evil and Vile,W,,,
Ferris Bueller's Day Off,W,,,
Free Solo,W,,,
Room,W,,,
Rounders,W,,,
Sherlock,W,,,
Snowpiercer,W,,,
Stranger Things,W,,,
The Danish Girl,W,,weird,3/20/2020
The Dark Knight,W,,,
The Dark Knight Rises,W,,,
The Hateful Eight,W,,,
The Lord of the Rings: The Two Towers,W,,,
The Physician,W,,,
The Pursuit of Happyness,W,,,
The Spectacular Now,W,,,
The Talented Mr. Ripley,W,,,
You,W,,,
The Marriage Story,W,,,
Reservoir Dogs,Q,,,
Anand,Q,,,
The Edge of Seventeen,W,,,
The Platform,W,,,4/25/2020
A Beautiful Mind,W,,,
A Serious Man,W,,,3/26/2020
Braveheart,W,,,
Coco,W,,,
Dead Poets Society,W,,,
Django Unchained,W,,,
Fight Club,W,,,
Finding Nemo,W,,,
Forrest Gump,W,,,
Hotel Rwanda,W,,,
Inglourious Basterds,W,,,
Inside Out,W,,,
Interstellar,W,,,
Into the Wild,W,,,
It's a Wonderful Life,W,,,
Joker,W,,,
Jurassic Park,W,,,
Kill Bill: Vol. 1,W,,,
Logan,W,,,
Memento,W,,,
Monsters Inc.,W,,,
Monty Python and the Holy Grail,W,,,
Perks of Being a Wallflower,W,,,4/1/2020
Se7en,W,,,
Shutter Island,W,,,
Singin' in the Rain,W,,,
Star Wars: Episode IV - A New Hope,W,,,
Star Wars: Episode V - The Empire Strikes Back,W,,,
Star Wars: Episode VI - Return of the Jedi,W,,,
The Grand Budapest Hotel,W,,,
The Usual Suspects,W,,,
The Wolf of Wall Street,W,,,
WALL-E,W,,,
The Truman Show,W,,,
The Prestige,W,,,
Up,W,,,
Toy Story,W,,,
To Kill a Mockingbird,W,,,
The Lord of the Rings: The Return of the King,W,,,
The Help,W,,,
The Lord of the Rings: The Fellowship of the Ring,W,,,
The Shining,W,,,
Eternal Sunshine of the Spotless Mind,W,,,
The Sixth Sense,W,,,
The Man Who Knew Infinity,Q,,,
The Godfather,Q,,,
1917,Q,,,
Blade Runner,Q,,,
Taxi Driver,W,,,
The Intouchables,Q,,,
Schindler's List,W,,,
American History X,Q,,,
The Departed,W,,,
Pulp Fiction,Q,,,
The Lion King,W,,,
The Silence of the Lambs,Q,,,
Fargo,Q,,,
Seven Samurai,Q,,,
Saving Private Ryan,W,,,
12 Angry Men,W,,,
Rocky,W,,,
One Flew Over the Cuckoo's Nest,Q,,,
The Godfather: Part II,Q,,,
Gladiator,Q,,,
Field of Dreams,W,,,
Brian's Song,W,,,
The Wizard of Oz,W,,,
Leatherheads,W,,,
The Chronicles of Narnia: The Lion The Witch and The Wardrobe,W,,,
Rodgers and Hammerstein's The Sound of Music,W,,,
